Afghanistan,Asia/Kabul
Aland Islands,Europe/Mariehamn
Albania,Europe/Tirane
Algeria,Africa/Algiers
American Samoa,Pacific/Pago_Pago
Andorra,Europe/Andorra
Angola,Africa/Luanda
Anguilla,America/Anguilla
Antarctica,Antarctica/McMurdo
Antarctica,Antarctica/Palmer
Antigua and Barbuda,America/Antigua
Argentina,America/Argentina/Buenos_Aires
Argentina,America/Argentina/Rio_Gallegos
Argentina,America/Argentina/Cordoba
Argentina,America/Argentina/La_Rioja
Argentina,America/Argentina/Mendoza
Argentina,America/Argentina/Salta
Argentina,America/Argentina/Catamarca
Argentina,America/Argentina/San_Juan
Argentina,America/Argentina/San_Luis
Argentina,America/Argentina/Tucuman
Argentina,America/Argentina/Jujuy
Argentina,America/Argentina/Ushuaia
Armenia,Asia/Yerevan
Aruba,America/Aruba
Australia,Australia/Adelaide
Australia,Australia/Melbourne
Australia,Australia/Brisbane
Australia,Australia/Broken_Hill
Australia,Australia/Sydney
Australia,Australia/Darwin
Australia,Australia/Hobart
Australia,Australia/Perth
Austria,Europe/Vienna
Azerbaijan,Asia/Baku
Bahamas,America/Nassau
Bahrain,Asia/Bahrain
Bangladesh,Asia/Dhaka
Barbados,America/Barbados
Belarus,Europe/Minsk
Belgium,Europe/Brussels
Belize,America/Belize
Benin,Africa/Porto-Novo
Bermuda,Atlantic/Bermuda
Bhutan,Asia/Thimphu
Bolivia,America/La_Paz
Bonaire,
Bosnia and Herzegovina,Europe/Sarajevo
Botswana,Africa/Gaborone
Brazil,America/Bahia
Brazil,America/Sao_Paulo
Brazil,America/Belem
Brazil,America/Maceio
Brazil,America/Araguaina
Brazil,America/Boa_Vista
Brazil,America/Recife
Brazil,America/Fortaleza
Brazil,America/Campo_Grande
Brazil,America/Cuiaba
Brazil,America/Eirunepe
Brazil,America/Porto_Velho
Brazil,America/Manaus
Brazil,America/Rio_Branco
Brazil,America/Santarem
British Virgin Islands,America/Tortola
Brunei,Asia/Brunei
Bulgaria,Europe/Sofia
Burkina Faso,Africa/Ouagadougou
Burundi,Africa/Bujumbura
Cabo Verde,Atlantic/Cape_Verde
Cambodia,Asia/Phnom_Penh
Cameroon,Africa/Douala
Canada,America/Vancouver
Canada,America/Toronto
Canada,America/Edmonton
Canada,America/Halifax
Canada,America/Dawson_Creek
Canada,America/Blanc-Sablon
Canada,America/Moncton
Canada,America/Regina
Canada,America/St_Johns
Canada,America/Glace_Bay
Canada,America/Thunder_Bay
Canada,America/Whitehorse
Canada,America/Winnipeg
Canada,America/Yellowknife
Cayman Islands,America/Cayman
Central African Republic,Africa/Bangui
Chad,Africa/Ndjamena
Chile,America/Santiago
Chile,America/Punta_Arenas
China,Asia/Shanghai
China,Asia/Urumqi
Christmas Island,Indian/Christmas
Cocos Islands,Indian/Cocos
Colombia,America/Bogota
Comoros,Indian/Comoro
Cook Islands,Pacific/Rarotonga
Costa Rica,America/Costa_Rica
Croatia,Europe/Zagreb
Cuba,America/Havana
Curacao,America/Curacao
Cyprus,Asia/Nicosia
Czechia,Europe/Prague
Democratic Republic of the Congo,Africa/Lubumbashi
Democratic Republic of the Congo,Africa/Kinshasa
Denmark,Europe/Copenhagen
Djibouti,Africa/Djibouti
Dominica,America/Dominica
Dominican Republic,America/Santo_Domingo
Ecuador,America/Guayaquil
Egypt,Africa/Cairo
El Salvador,America/El_Salvador
Equatorial Guinea,Africa/Malabo
Eritrea,Africa/Asmara
Estonia,Europe/Tallinn
Eswatini,Africa/Mbabane
Ethiopia,Africa/Addis_Ababa
Falkland Islands,Atlantic/Stanley
Faroe Islands,Atlantic/Faroe
Fiji,Pacific/Fiji
Finland,Europe/Helsinki
France,Europe/Paris
French Guiana,America/Cayenne
French Polynesia,Pacific/Tahiti
French Southern Territories,Indian/Kerguelen
Gabon,Africa/Libreville
Gambia,Africa/Banjul
Georgia,Asia/Tbilisi
Germany,Europe/Berlin
Ghana,Africa/Accra
Gibraltar,Europe/Gibraltar
Greece,Europe/Athens
Greenland,America/Godthab
Grenada,America/Grenada
Guadeloupe,America/Guadeloupe
Guam,Pacific/Guam
Guatemala,America/Guatemala
Guernsey,Europe/Guernsey
Guinea,Africa/Conakry
Guinea-Bissau,Africa/Bissau
Guyana,America/Guyana
Haiti,America/Port-au-Prince
Honduras,America/Tegucigalpa
Hong Kong,Asia/Hong_Kong
Hungary,Europe/Budapest
Iceland,Atlantic/Reykjavik
India,Asia/Kolkata
Indonesia,Asia/Jakarta
Indonesia,Asia/Jayapura
Indonesia,Asia/Makassar
Indonesia,Asia/Pontianak
Iran,Asia/Tehran
Iraq,Asia/Baghdad
Ireland,Europe/Dublin
Isle of Man,Europe/Isle_of_Man
Israel,Asia/Jerusalem
Italy,Europe/Rome
Ivory Coast,Africa/Abidjan
Jamaica,America/Jamaica
Japan,Asia/Tokyo
Jersey,Europe/Jersey
Jordan,Asia/Amman
Kazakhstan,Asia/Aqtau
Kazakhstan,Asia/Aqtobe
Kazakhstan,Asia/Almaty
Kazakhstan,Asia/Atyrau
Kazakhstan,Asia/Qostanay
